	mu.mm	lambda.mm	A.mm	int.mm	mu.kb	lambda.kb	A.kb	int.kb	clade	phylo.pos.new	phylo.pos.old	c.i	c.h	c.dom	c.w	c.mu	c.t	c.r	field.abund	log.field	kb.c.h	kb.c.i	dmg	gh.mock	gh.ja	gh.sa	d.ja	d.sa	persist
02A	0.000520278	1489.137994	0.436308525	1048.843727	0.001280828	287.9	0.754	1455	Psyr	12	10	0.448717949	0.602564103	0.423076923	0.051282051	98.56663415	0	0.846153846	22500	4.352	NA	NA	1	2.582588357	3.373170774	2.639133789	0.306120182	0.021894868	2.097
08A	0.000483002	652.8910261	0.430825342	956.1011929	0.00124325	251.3	0.707	1407	Psyr	13	11	0.346153846	0.538461538	0.307692308	-0.115384615	-238.890554	0	0.769230769	100000	5	0.12	0.458	1	NA	NA	NA	NA	NA	NA
4326	6.74E-05	1073.323601	0.14733202	298.8391667	0.000814443	322.5	0.773	1376	Psyr	14	13	0.192307692	0.025641026	0.012820513	-0.782051282	-11603.13475	0	0.230769231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22D	0.000341288	1197.52226	0.358231899	696.7498064	0.001594846	329.8	0.719	1315	Psyr	15	16	0.384615385	0.615384615	0.384615385	0	0	0	0.384615385	50000	4.699	0.24	0.28	1	NA	NA	NA	NA	NA	NA
07A	0.000482906	916.860824	0.390560929	806.4953769	0.001297394	436.4	0.942	1691	Psyr	16	15	0.371794872	0.602564103	0.371794872	-0.025641026	-53.09734325	0	0.846153846	3500	3.544	0.042	0.52	0	NA	NA	NA	NA	NA	NA
22B	0.000473307	1127.701747	0.412949774	793.6491714	0.001500956	342.3	0.832	1546	Psyr	17	17	0.256410256	0.5	0.230769231	-0.243589744	-514.6548511	0	0.846153846	50000	4.699	NA	NA	1	3.02502003	2.610681093	2.774582502	-0.136970643	-0.082788717	4.544
26B	0.000534421	1004.368276	0.473217895	984.6538596	0.001749328	277.8	0.758	1468	Psyr	18	18	0.435897436	0.564102564	0.371794872	0	0	0	0.307692308	50000	4.699	0.36	0.56	1	2.166028844	2.15116519	2.387312396	-0.006862168	0.102160944	4.544
39F	5.69E-05	603.3848056	0.034603113	53.987505	0.000882302	350.2	0.617	1149	Psyr	19	20	0.192307692	0.076923077	0.064102564	-0.730769231	-12843.04448	0	0.615384615	5000	3.699	0.2	0.32	1	NA	NA	NA	NA	NA	NA
22C	NA	NA	NA	NA	0.000959264	238.3	0.903	1677	Psyr	20	19	0.205128205	0.474358974	0.179487179	-0.320512821	NA	0	0.769230769	100000	5	0.056	0.28	1	NA	NA	NA	NA	NA	NA
08C	0.000320697	2716.58373	0.314331449	220.6335334	0.000757375	329.2	0.598	1157	Psyr	21	21	0.230769231	0.166666667	0.076923077	-0.602564103	-1878.920297	0	0.615384615	650000	5.813	NA	NA	1	NA	NA	NA	NA	NA	NA
23A	2.54E-05	664.1503	0.028508313	65.23014015	0.00083553	266.9	0.511	998	Psyr	22	22	0.192307692	0.115384615	0.051282051	-0.692307692	-27256.20836	0	0.538461538	20000	4.301	0.16	0.25	0	NA	NA	NA	NA	NA	NA
24C	0.000137125	2459.606646	0.445668708	452.6402046	0.001187222	243.6	0.628	1214	Psyr	23	23	0.230769231	0.217948718	0.08974359	-0.551282051	-4020.288432	0	0.923076923	550000	5.74	NA	NA	1	NA	NA	NA	NA	NA	NA
21A	0.000280918	2136.353693	0.39513436	598.2106141	0.000976077	188.3	0.623	1284	Psyr	24	24	0.256410256	0.269230769	0.128205128	-0.474358974	-1688.602989	0	0.923076923	75000	4.875	0.2	0.5	1	NA	NA	NA	NA	NA	NA
20B	0.000262415	1433.31654	0.407807501	665.6416716	0.001093073	235.7	0.662	1333	Psyr	25	25	0.205128205	0.358974359	0.153846154	-0.435897436	-1661.09954	0	1	25000	4.398	0.32	0.5	1	2.337029788	1.822982269	2.18496919	-0.219957624	-0.065065751	4.301
08B	0.001086358	2127.43635	0.651026677	1358.922723	0.001273169	269.2	0.788	1574	Psyr	26	26	0.666666667	0.641025641	0.615384615	0.307692308	283.2328824	0	0.615384615	17500	4.243	NA	NA	1	NA	NA	NA	NA	NA	NA
36A	0.000613143	914.9788986	0.483883614	976.0035991	0.002196467	270.9	0.855	1706	Pflu	27	27	0.723684211	0.653846154	0.644736842	0.377530364	615.7297146	0.137931034	0.692307692	250	2.398	1	0.583	0	1.806737936	1.75025724	1.733549774	-0.031261144	-0.040508455	4.544
07B	0.000609212	1126.921607	0.448654423	812.0992887	0.001911098	262.4	0.794	1622	Pflu	28	29	0.644736842	0.628205128	0.605263158	0.27294197	448.0246126	0.038461538	0.846153846	500	2.699	0.92	0.68	0	NA	NA	NA	NA	NA	NA
06B	0.000754405	1022.307608	0.548965722	1096.206942	0.002315713	268.1	1.001	2024	Pflu	29	28	0.666666667	0.705128205	0.641025641	0.371794872	492.8319295	0.037037037	0.692307692	250	2.398	0.88	0.68	0	NA	NA	NA	NA	NA	NA
43A	0.000480536	584.499722	0.481242127	943.8078781	0.001668998	231.5	0.91	1810	Pflu	30	30	0.858974359	0.833333333	0.769230769	0.692307692	1440.698912	0.351351351	0.538461538	250	2.398	NA	NA	1	NA	NA	NA	NA	NA	NA
29A	0.000635281	706.4226	0.565155154	1145.605263	0.00191486	209.1	1.004	2008	Pflu	31	31	0.855263158	0.884615385	0.789473684	0.739878543	1164.64768	0.371428571	0.538461538	500	2.699	NA	NA	0	1.844980363	1.56901678	1.86724971	-0.14957535	0.012070235	5.296
39A	0.000709952	566.4264755	0.505784432	1131.155285	0.001874371	325.1	0.978	1952	Pflu	32	32	0.935897436	0.820512821	0.782051282	0.756410256	1065.438588	0.131578947	0.692307692	25000	4.398	NA	NA	1	2.285248353	2.183388747	2.206090914	-0.044572663	-0.03463844	4.74
34A	0.000568199	609.6013448	0.386458348	846.8403565	0.001870033	319.2	0.926	1888	Pflu	33	33	0.858974359	1	0.858974359	0.858974359	1511.749157	0.594594595	0	250	2.398	0.88	0.84	0	NA	NA	NA	NA	NA	NA
36B	0.000419392	470.8887764	0.508709788	1021.004757	0.004116025	427.4	0.869	1786	Pflu	34	35	0.881578947	0.846153846	0.776315789	0.727732794	1735.209049	0.27027027	0.692307692	1000	3	0.92	0.68	0	NA	NA	NA	NA	NA	NA
13A	0.000407306	467.4098999	0.499396288	993.1338096	0.003511714	408.3	0.842	1732	Pflu	35	37	0.881578947	0.858974359	0.789473684	0.740553306	1818.174312	0.216216216	0.692307692	750	2.875	0.88	0.72	0	NA	NA	NA	NA	NA	NA
27A	0.000408782	446.0996307	0.514559855	1074.065609	0.003549252	407.7	0.857	1760	Pflu	36	34	0.897435897	0.987179487	0.884615385	0.884615385	2164.027243	0.236842105	0.076923077	250	2.398	NA	NA	0	NA	NA	NA	NA	NA	NA
33E	0.000438218	523.1642125	0.548295294	1076.37608	0.003723883	399.9	0.86	1777	Pflu	37	36	0.881578947	0.846153846	0.789473684	0.727732794	1660.663856	0.27027027	0.615384615	1750	3.243	0.88	0.72	0	1.898984795	1.529077103	1.970835059	-0.19479234	0.037836145	4.574
03A	0.000505342	585.0355573	0.52744698	1082.233733	0.002396802	397.4	0.999	1852	Pflu	38	38	0.782051282	0.858974359	0.730769231	0.641025641	1268.498643	0	0.692307692	250	2.398	0.8	0.68	0	1.853651821	1.555108292	1.785486256	-0.161056961	-0.036773662	6.061
06A	0.000505731	565.675486	0.538859636	1115.372802	0.002005419	361.2	1.059	1918	Pflu	39	39	0.858974359	0.884615385	0.782051282	0.743589744	1470.326604	0.027777778	0.615384615	250	2.398	NA	NA	0	NA	NA	NA	NA	NA	NA
46A	0.000913067	820.3435069	0.357628422	799.4574427	0.001643197	372.5	0.775	1350	Pflu	40	40	0.684210526	0.666666667	0.657894737	0.350877193	384.2841686	0.074074074	0.769230769	1625000	6.211	NA	NA	1	2.381028279	2.385691576	2.312336987	0.001958522	-0.028849423	4.796
