focal.strain	int.id	i.int	j.int	outcome	score.d	score.o	dom.score	psim	pdist	tdist1	tdist2	tdist3	tdist4	i.clade	j.clade	WB	self	RI	RNI	ASYM	SUM
10A	39A	2	0	39A	0	0	-2	85.8	14.2	0.000537021	1041.373897	0.042048197	258.9110655	Psyr	Pflu	B	0	0	0	1	1
10A	34A	2	0	34A	0	0	-2	85.7	14.3	0.000395268	998.1990279	0.161374281	25.40386301	Psyr	Pflu	B	0	0	0	1	1
10A	27A	2	0	27A	0	0	-2	85.7	14.3	0.000235851	1161.700742	0.033272774	201.8213895	Psyr	Pflu	B	0	0	0	1	1
10A	36B	2	0	36B	0	0	-2	85.7	14.3	0.000246461	1136.911596	0.039122841	148.7605375	Psyr	Pflu	B	0	0	0	1	1
10A	33E	2	0	33E	0	0	-2	85.7	14.3	0.000265287	1084.63616	0.000462665	204.1318605	Psyr	Pflu	B	0	0	0	1	1
10A	13A	2	0	13A	0	0	-2	85.7	14.3	0.000234375	1140.390473	0.048436341	120.8895901	Psyr	Pflu	B	0	0	0	1	1
10A	03A	2	0	03A	0	0	-2	85.6	14.4	0.000332411	1022.764815	0.020385649	209.9895135	Psyr	Pflu	B	0	0	0	1	1
10A	06A	2	0	06A	0	0	-2	85.6	14.4	0.0003328	1042.124887	0.008972993	243.1285825	Psyr	Pflu	B	0	0	0	1	1
10A	46A	2	0	46A	0	0	-2	85.5	14.5	0.000740136	787.4568658	0.190204207	72.78677681	Psyr	Pflu	B	0	0	0	1	1
20A	21B	2	0	21B	0	0	-2	100	0	4.36E-06	568.5132758	0.010162823	229.459956	Psyr	Psyr	W	0	0	0	1	1
20A	17A	2	0	17A	0	0	-2	100	0	6.36E-05	410.5410593	0.29979446	488.5958857	Psyr	Psyr	W	0	0	0	1	1
20A	24A	1	0	24A	1	0	-1	99.5	0.5	0.000205027	527.3147224	0.129486364	193.3364698	Psyr	Psyr	W	0	0	0	1	1
20A	39C	1	0	39C	1	0	-1	99.5	0.5	0.000114788	233.2831301	0.13247112	76.74969167	Psyr	Psyr	W	0	0	0	1	1
20A	16A	2	0	16A	0	0	-2	99.3	0.7	6.41E-05	72.13722898	0.024199331	2.74834929	Psyr	Psyr	W	0	0	0	1	1
20A	14B	2	0	14B	0	0	-2	99.3	0.7	9.63E-05	161.0672416	0.001289461	92.04745906	Psyr	Psyr	W	0	0	0	1	1
20A	46B	0	0	RNI	2	0	0	91.1	8.9	6.98E-05	884.6027436	0.236317298	20.08931363	Psyr	Psyr	W	0	0	1	0	1
20A	02A	2	0	02A	0	0	-2	91.7	8.3	0.000204641	588.8205067	0.142020004	349.1147805	Psyr	Psyr	W	0	0	0	1	1
20A	08A	2	0	08A	0	0	-2	91.7	8.3	0.000167365	1425.067475	0.147503187	256.3722468	Psyr	Psyr	W	0	0	0	1	1
20A	06C	2	0	06C	0	0	-2	91.7	8.3	0.00012461	400.2091066	0.134765178	263.6015136	Psyr	Psyr	W	0	0	0	1	1
20A	4326	2	2	RI	0	2	0	91.7	8.3	0.000248237	1004.6349	0.430996509	400.8897795	Psyr	Psyr	W	0	1	0	0	1
20A	19A	0	0	RNI	2	0	0	91.8	8.2	0.000278069	1607.440791	0.20847927	198.5598641	Psyr	Psyr	W	0	0	1	0	1
20A	07A	2	0	07A	0	0	-2	90.1	9.9	0.000167269	1161.097677	0.1877676	106.7664307	Psyr	Psyr	W	0	0	0	1	1
20A	22D	2	0	22D	0	0	-2	90	10	2.57E-05	880.4362407	0.22009663	2.979139761	Psyr	Psyr	W	0	0	0	1	1
20A	22B	2	0	22B	0	0	-2	90	10	0.00015767	950.2567539	0.165378755	93.92022528	Psyr	Psyr	W	0	0	0	1	1
20A	26B	2	0	26B	0	0	-2	90.4	9.6	0.000218784	1073.590225	0.105110634	284.9249134	Psyr	Psyr	W	0	0	0	1	1
20A	22C	2	0	22C	0	0	-2	86.1	13.9	NA	NA	NA	NA	Psyr	Psyr	W	0	0	0	1	1
20A	39F	2	0	39F	0	0	-2	86.5	13.5	0.000258722	1474.573695	0.543725416	645.7414412	Psyr	Psyr	W	0	0	0	1	1
20A	08C	2	2	RI	0	2	0	86.2	13.8	5.06E-06	638.6252294	0.26399708	479.0954127	Psyr	Psyr	W	0	1	0	0	1
20A	23A	2	1	23A	0	1	-1	86.3	13.7	0.000290269	1413.808201	0.549820216	634.498806	Psyr	Psyr	W	0	0	0	1	1
20A	24C	2	0	24C	0	0	-2	86.4	13.6	0.000178512	381.6481448	0.132659821	247.0887416	Psyr	Psyr	W	0	0	0	1	1
20A	21A	2	0	21A	0	0	-2	86.7	13.3	3.47E-05	58.39519185	0.183194169	101.5183321	Psyr	Psyr	W	0	0	0	1	1
20A	20B	2	0	20B	0	0	-2	86.7	13.3	5.32E-05	644.6419608	0.170521028	34.08727453	Psyr	Psyr	W	0	0	0	1	1
20A	08B	2	0	08B	0	0	-2	85.7	14.3	0.000770721	49.47784888	0.072698148	659.1937772	Psyr	Psyr	W	0	0	0	1	1
20A	36A	2	0	36A	0	0	-2	85.2	14.8	0.000297506	1162.979602	0.094444915	276.2746529	Psyr	Pflu	B	0	0	0	1	1
20A	06B	2	0	06B	0	0	-2	85.2	14.8	0.000438768	1055.650893	0.029362807	396.4779958	Psyr	Pflu	B	0	0	0	1	1
20A	07B	2	0	07B	0	0	-2	85.2	14.8	0.000293575	951.0368939	0.129674106	112.3703425	Psyr	Pflu	B	0	0	0	1	1
20A	43A	2	0	43A	0	0	-2	85.2	14.8	0.000164899	1493.458779	0.097086402	244.0789319	Psyr	Pflu	B	0	0	0	1	1
20A	29A	2	0	29A	0	0	-2	85	15	0.000319644	1371.535901	0.013173375	445.8763168	Psyr	Pflu	B	0	0	0	1	1
20A	39A	2	0	39A	0	0	-2	85.8	14.2	0.000394315	1511.532025	0.072544097	431.4263388	Psyr	Pflu	B	0	0	0	1	1
20A	34A	2	0	34A	0	0	-2	85.7	14.3	0.000252562	1468.357156	0.191870181	147.1114103	Psyr	Pflu	B	0	0	0	1	1
20A	27A	2	0	27A	0	0	-2	85.7	14.3	9.31E-05	1631.85887	0.063768674	374.3366628	Psyr	Pflu	B	0	0	0	1	1
20A	36B	2	0	36B	0	0	-2	85.7	14.3	0.000103755	1607.069724	0.069618741	321.2758108	Psyr	Pflu	B	0	0	0	1	1
20A	33E	2	0	33E	0	0	-2	85.7	14.3	0.000122581	1554.794288	0.030033235	376.6471338	Psyr	Pflu	B	0	0	0	1	1
20A	13A	2	0	13A	0	0	-2	85.7	14.3	9.17E-05	1610.548601	0.078932241	293.4048634	Psyr	Pflu	B	0	0	0	1	1
20A	03A	2	0	03A	0	0	-2	85.6	14.4	0.000189705	1492.922944	0.050881549	382.5047868	Psyr	Pflu	B	0	0	0	1	1
20A	06A	2	0	06A	0	0	-2	85.6	14.4	0.000190094	1512.283015	0.039468893	415.6438558	Psyr	Pflu	B	0	0	0	1	1
20A	46A	2	0	46A	0	0	-2	85.5	14.5	0.00059743	1257.614994	0.220700107	99.72849653	Psyr	Pflu	B	0	0	0	1	1
21B	17A	0	0	RNI	2	0	0	100	0	6.80E-05	979.054335	0.309957283	718.0558417	Psyr	Psyr	W	0	0	1	0	1
21B	24A	1	0	24A	1	0	-1	99.5	0.5	0.000200663	41.19855334	0.119323541	36.12348616	Psyr	Psyr	W	0	0	0	1	1
21B	39C	0	2	21B	2	2	2	99.5	0.5	0.000119152	335.2301457	0.122308297	152.7102643	Psyr	Psyr	W	0	0	0	1	1
21B	16A	1	0	16A	1	0	-1	99.3	0.7	6.85E-05	496.3760468	0.034362154	226.7116067	Psyr	Psyr	W	0	0	0	1	1
21B	14B	1	0	14B	1	0	-1	99.3	0.7	0.000100669	407.4460342	0.011452284	137.4124969	Psyr	Psyr	W	0	0	0	1	1
21B	46B	0	0	RNI	2	0	0	91.1	8.9	7.41E-05	316.0894679	0.246480121	209.3706423	Psyr	Psyr	W	0	0	1	0	1
21B	02A	2	0	02A	0	0	-2	91.7	8.3	0.000200277	20.30723097	0.152182827	119.6548246	Psyr	Psyr	W	0	0	0	1	1
21B	08A	2	0	08A	0	0	-2	91.7	8.3	0.000163001	856.554199	0.15766601	26.91229081	Psyr	Psyr	W	0	0	0	1	1
21B	06C	1	0	06C	1	0	-1	91.7	8.3	0.000120246	968.7223824	0.144928001	34.14155765	Psyr	Psyr	W	0	0	0	1	1
21B	4326	0	2	21B	2	2	2	91.7	8.3	0.000252601	436.121624	0.441159332	630.3497355	Psyr	Psyr	W	0	0	0	1	1
21B	19A	1	0	19A	1	0	-1	91.8	8.2	0.000273705	1038.927515	0.218642093	30.9000919	Psyr	Psyr	W	0	0	0	1	1
21B	07A	1	0	07A	1	0	-1	90.1	9.9	0.000162905	592.5844011	0.197930423	122.6935253	Psyr	Psyr	W	0	0	0	1	1
21B	22D	1	0	22D	1	0	-1	90	10	2.13E-05	311.922965	0.230259453	232.4390957	Psyr	Psyr	W	0	0	0	1	1
21B	22B	0	0	RNI	2	0	0	90	10	0.000153306	381.7434782	0.175541578	135.5397307	Psyr	Psyr	W	0	0	1	0	1
21B	26B	1	0	26B	1	0	-1	90.4	9.6	0.00021442	505.0769494	0.115273457	55.46495748	Psyr	Psyr	W	0	0	0	1	1
21B	22C	0	0	RNI	2	0	0	86.1	13.9	NA	NA	NA	NA	Psyr	Psyr	W	0	0	1	0	1
21B	39F	0	2	21B	2	2	2	86.5	13.5	0.000263086	906.0604195	0.553888239	875.2013971	Psyr	Psyr	W	0	0	0	1	1
21B	08C	1	2	21B	1	2	1	86.2	13.8	6.96E-07	1207.138505	0.274159903	708.5553687	Psyr	Psyr	W	0	0	0	1	1
21B	23A	1	1	RI	1	1	0	86.3	13.7	0.000294633	845.2949251	0.559983039	863.958762	Psyr	Psyr	W	0	1	0	0	1
21B	24C	1	0	24C	1	0	-1	86.4	13.6	0.000182876	950.1614205	0.142822644	476.5486975	Psyr	Psyr	W	0	0	0	1	1
21B	21A	0	1	21B	2	1	1	86.7	13.3	3.91E-05	626.9084676	0.193356992	330.9782881	Psyr	Psyr	W	0	0	0	1	1
21B	20B	0	1	21B	2	1	1	86.7	13.3	5.76E-05	76.12868507	0.180683851	263.5472305	Psyr	Psyr	W	0	0	0	1	1
21B	08B	2	0	08B	0	0	-2	85.7	14.3	0.000766357	617.9911246	0.062535325	429.7338213	Psyr	Psyr	W	0	0	0	1	1
21B	36A	2	0	36A	0	0	-2	85.2	14.8	0.000293142	594.4663265	0.104607738	46.81469698	Psyr	Pflu	B	0	0	0	1	1
21B	06B	2	0	06B	0	0	-2	85.2	14.8	0.000434404	487.1376171	0.03952563	167.0180399	Psyr	Pflu	B	0	0	0	1	1
21B	07B	2	0	07B	0	0	-2	85.2	14.8	0.000289211	382.5236181	0.139836929	117.0896134	Psyr	Pflu	B	0	0	0	1	1
21B	43A	2	0	43A	0	0	-2	85.2	14.8	0.000160535	924.9455031	0.107249225	14.61897598	Psyr	Pflu	B	0	0	0	1	1
21B	29A	2	0	29A	0	0	-2	85	15	0.00031528	803.0226251	0.023336198	216.4163609	Psyr	Pflu	B	0	0	0	1	1
21B	39A	2	0	39A	0	0	-2	85.8	14.2	0.000389951	943.0187496	0.08270692	201.9663829	Psyr	Pflu	B	0	0	0	1	1
21B	34A	2	0	34A	0	0	-2	85.7	14.3	0.000248198	899.8438803	0.202033004	82.34854562	Psyr	Pflu	B	0	0	0	1	1
21B	27A	2	0	27A	0	0	-2	85.7	14.3	8.88E-05	1063.345594	0.073931497	144.8767069	Psyr	Pflu	B	0	0	0	1	1
21B	36B	2	0	36B	0	0	-2	85.7	14.3	9.94E-05	1038.556449	0.079781564	91.81585488	Psyr	Pflu	B	0	0	0	1	1
21B	33E	2	0	33E	0	0	-2	85.7	14.3	0.000118217	986.2810126	0.040196058	147.1871779	Psyr	Pflu	B	0	0	0	1	1
21B	13A	2	0	13A	0	0	-2	85.7	14.3	8.73E-05	1042.035325	0.089095064	63.94490748	Psyr	Pflu	B	0	0	0	1	1
21B	03A	2	0	03A	0	0	-2	85.6	14.4	0.000185341	924.4096678	0.061044372	153.0448309	Psyr	Pflu	B	0	0	0	1	1
21B	06A	2	0	06A	0	0	-2	85.6	14.4	0.00018573	943.7697391	0.049631716	186.1838999	Psyr	Pflu	B	0	0	0	1	1
21B	46A	2	0	46A	0	0	-2	85.5	14.5	0.000593066	689.1017182	0.23086293	129.7314594	Psyr	Pflu	B	0	0	0	1	1
17A	24A	1	0	24A	1	0	-1	99.6	0.4	0.000268648	937.8557817	0.429280824	681.9323555	Psyr	Psyr	W	0	0	0	1	1
17A	39C	0	1	17A	2	1	1	99.5	0.5	5.12E-05	643.8241894	0.43226558	565.3455774	Psyr	Psyr	W	0	0	0	1	1
17A	16A	2	0	16A	0	0	-2	99.4	0.6	5.19E-07	482.6782882	0.275595129	491.344235	Psyr	Psyr	W	0	0	0	1	1
17A	14B	1	0	14B	1	0	-1	99.4	0.6	3.27E-05	571.6083008	0.298504999	580.6433448	Psyr	Psyr	W	0	0	0	1	1
17A	46B	1	0	46B	1	0	-1	91.2	8.8	6.13E-06	1295.143803	0.063477163	508.6851994	Psyr	Psyr	W	0	0	0	1	1
17A	02A	2	0	02A	0	0	-2	91.8	8.2	0.000268262	999.361566	0.157774457	837.7106663	Psyr	Psyr	W	0	0	0	1	1
17A	08A	2	0	08A	0	0	-2	91.8	8.2	0.000230986	1835.608534	0.152291273	744.9681325	Psyr	Psyr	W	0	0	0	1	1
17A	06C	2	0	06C	0	0	-2	91.8	8.2	0.000188231	10.33195261	0.165029283	752.1973993	Psyr	Psyr	W	0	0	0	1	1
17A	4326	0	2	17A	2	2	2	91.8	8.2	0.000184616	1415.175959	0.131202049	87.70610623	Psyr	Psyr	W	0	0	0	1	1
17A	19A	1	0	19A	1	0	-1	91.8	8.2	0.00034169	2017.98185	0.09131519	687.1557498	Psyr	Psyr	W	0	0	0	1	1
17A	07A	2	0	07A	0	0	-2	90.1	9.9	0.00023089	1571.638736	0.11202686	595.3623164	Psyr	Psyr	W	0	0	0	1	1
17A	22D	0	0	RNI	2	0	0	90.1	9.9	8.93E-05	1290.9773	0.07969783	485.616746	Psyr	Psyr	W	0	0	1	0	1
17A	22B	1	0	22B	1	0	-1	90.1	9.9	0.000221291	1360.797813	0.134415705	582.516111	Psyr	Psyr	W	0	0	0	1	1
17A	26B	1	0	26B	1	0	-1	90.5	9.5	0.000282405	1484.131284	0.194683826	773.5207992	Psyr	Psyr	W	0	0	0	1	1
17A	22C	1	0	22C	1	0	-1	86.2	13.8	NA	NA	NA	NA	Psyr	Psyr	W	0	0	0	1	1
17A	39F	0	2	17A	2	2	2	86.6	13.4	0.000195101	1885.114754	0.243930956	157.1455554	Psyr	Psyr	W	0	0	0	1	1
17A	08C	2	2	RI	0	2	0	86.2	13.8	6.87E-05	228.0841702	0.03579738	9.500473015	Psyr	Psyr	W	0	1	0	0	1
17A	23A	0	2	17A	2	2	2	86.3	13.7	0.000226648	1824.34926	0.250025755	145.9029203	Psyr	Psyr	W	0	0	0	1	1
17A	24C	1	0	24C	1	0	-1	86.4	13.6	0.000114891	28.89291451	0.167134639	241.5071442	Psyr	Psyr	W	0	0	0	1	1
17A	21A	2	1	21A	0	1	-1	86.7	13.3	2.89E-05	352.1458674	0.116600291	387.0775536	Psyr	Psyr	W	0	0	0	1	1
17A	20B	2	0	20B	0	0	-2	86.7	13.3	1.04E-05	1055.18302	0.129273432	454.5086112	Psyr	Psyr	W	0	0	0	1	1
17A	08B	2	0	08B	0	0	-2	85.7	14.3	0.000834342	361.0632104	0.372492608	1147.789663	Psyr	Psyr	W	0	0	0	1	1
17A	36A	2	0	36A	0	0	-2	85.2	14.8	0.000361127	1573.520662	0.205349545	764.8705387	Psyr	Pflu	B	0	0	0	1	1
17A	06B	2	0	06B	0	0	-2	85.2	14.8	0.000502389	1466.191952	0.270431653	885.0738816	Psyr	Pflu	B	0	0	0	1	1
17A	07B	2	0	07B	0	0	-2	85.2	14.8	0.000357196	1361.577953	0.170120354	600.9662283	Psyr	Pflu	B	0	0	0	1	1
17A	43A	2	0	43A	0	0	-2	85.2	14.8	0.00022852	1903.999838	0.202708058	732.6748177	Psyr	Pflu	B	0	0	0	1	1
17A	29A	2	0	29A	0	0	-2	85.1	14.9	0.000383265	1782.07696	0.286621085	934.4722026	Psyr	Pflu	B	0	0	0	1	1
17A	39A	2	0	39A	0	0	-2	85.8	14.2	0.000457936	1922.073085	0.227250363	920.0222246	Psyr	Pflu	B	0	0	0	1	1
17A	34A	2	0	34A	0	0	-2	85.7	14.3	0.000316183	1878.898215	0.107924279	635.7072961	Psyr	Pflu	B	0	0	0	1	1
17A	27A	2	0	27A	0	0	-2	85.7	14.3	0.000156766	2042.399929	0.236025786	862.9325486	Psyr	Pflu	B	0	0	0	1	1
17A	36B	2	0	36B	0	0	-2	85.7	14.3	0.000167376	2017.610784	0.230175719	809.8716966	Psyr	Pflu	B	0	0	0	1	1
17A	33E	2	0	33E	0	0	-2	85.7	14.3	0.000186202	1965.335348	0.269761225	865.2430196	Psyr	Pflu	B	0	0	0	1	1
17A	13A	2	0	13A	0	0	-2	85.7	14.3	0.00015529	2021.08966	0.220862219	782.0007492	Psyr	Pflu	B	0	0	0	1	1
17A	03A	2	0	03A	0	0	-2	85.7	14.3	0.000253326	1903.464003	0.248912911	871.1006726	Psyr	Pflu	B	0	0	0	1	1
17A	06A	2	0	06A	0	0	-2	85.7	14.3	0.000253715	1922.824074	0.260325567	904.2397416	Psyr	Pflu	B	0	0	0	1	1
17A	46A	2	0	46A	0	0	-2	85.5	14.5	0.000661051	1668.156053	0.079094353	588.3243823	Psyr	Pflu	B	0	0	0	1	1
24A	39C	0	2	24A	2	2	2	100	0	0.000319815	294.0315923	0.002984756	116.5867781	Psyr	Psyr	W	0	0	0	1	1
24A	16A	1	0	16A	1	0	-1	99.6	0.4	0.000269167	455.1774934	0.153685695	190.5881205	Psyr	Psyr	W	0	0	0	1	1
24A	14B	1	0	14B	1	0	-1	99.6	0.4	0.000301332	366.2474808	0.130775825	101.2890107	Psyr	Psyr	W	0	0	0	1	1
24A	46B	0	0	RNI	2	0	0	91.1	8.9	0.000274783	357.2880212	0.365803662	173.2471562	Psyr	Psyr	W	0	0	1	0	1
24A	02A	2	0	02A	0	0	-2	92	8	3.86E-07	61.50578432	0.271506368	155.7783108	Psyr	Psyr	W	0	0	0	1	1
24A	08A	1	0	08A	1	0	-1	92	8	3.77E-05	897.7527524	0.276989551	63.03577697	Psyr	Psyr	W	0	0	0	1	1
24A	06C	0	0	RNI	2	0	0	92	8	8.04E-05	927.5238291	0.264251542	70.26504381	Psyr	Psyr	W	0	0	1	0	1
24A	4326	0	2	24A	2	2	2	92	8	0.000453264	477.3201774	0.560482873	594.2262493	Psyr	Psyr	W	0	0	0	1	1
24A	19A	1	0	19A	1	0	-1	91.9	8.1	7.30E-05	1080.126069	0.337965634	5.22339426	Psyr	Psyr	W	0	0	0	1	1
24A	07A	1	0	07A	1	0	-1	90.3	9.7	3.78E-05	633.7829544	0.317253964	86.57003911	Psyr	Psyr	W	0	0	0	1	1
24A	22D	2	0	22D	0	0	-2	90.2	9.8	0.000179376	353.1215183	0.349582994	196.3156096	Psyr	Psyr	W	0	0	0	1	1
24A	22B	1	0	22B	1	0	-1	90.2	9.8	4.74E-05	422.9420315	0.294865119	99.41624451	Psyr	Psyr	W	0	0	0	1	1
24A	26B	2	2	RI	0	2	0	90.7	9.3	1.38E-05	546.2755027	0.234596998	91.58844364	Psyr	Psyr	W	0	1	0	0	1
24A	22C	0	1	24A	2	1	1	86.2	13.8	NA	NA	NA	NA	Psyr	Psyr	W	0	0	0	1	1
24A	39F	0	2	24A	2	2	2	86.6	13.4	0.00046375	947.2589728	0.67321178	839.077911	Psyr	Psyr	W	0	0	0	1	1
24A	08C	1	2	24A	1	2	1	86.3	13.7	0.000199967	1165.939952	0.393483444	672.4318825	Psyr	Psyr	W	0	0	0	1	1
24A	23A	0	2	24A	2	2	2	86.4	13.6	0.000495297	886.4934784	0.67930658	827.8352758	Psyr	Psyr	W	0	0	0	1	1
24A	24C	1	1	RI	1	1	0	86.3	13.7	0.000383539	908.9628672	0.262146185	440.4252114	Psyr	Psyr	W	0	1	0	0	1
24A	21A	1	2	24A	1	2	1	86.7	13.3	0.000239746	585.7099143	0.312680533	294.8548019	Psyr	Psyr	W	0	0	0	1	1
24A	20B	0	2	24A	2	2	2	86.7	13.3	0.000258249	117.3272384	0.300007392	227.4237443	Psyr	Psyr	W	0	0	0	1	1
24A	08B	2	0	08B	0	0	-2	85.8	14.2	0.000565694	576.7925713	0.056788216	465.8573074	Psyr	Psyr	W	0	0	0	1	1
24A	06B	2	0	06B	0	0	-2	85.2	14.8	0.000233741	528.3361704	0.158849171	203.141526	Psyr	Pflu	B	0	0	0	1	1
24A	43A	2	0	43A	0	0	-2	85.2	14.8	4.01E-05	966.1440564	0.226572766	50.74246214	Psyr	Pflu	B	0	0	0	1	1
24A	39A	2	0	39A	0	0	-2	85.7	14.3	0.000189288	984.2173029	0.202030461	238.089869	Psyr	Pflu	B	0	0	0	1	1
24A	34A	2	0	34A	0	0	-2	85.5	14.5	4.75E-05	941.0424336	0.321356545	46.22505946	Psyr	Pflu	B	0	0	0	1	1
24A	27A	2	0	27A	0	0	-2	85.6	14.4	0.000111882	1104.544148	0.193255038	181.000193	Psyr	Pflu	B	0	0	0	1	1
24A	03A	2	0	03A	0	0	-2	85.5	14.5	1.53E-05	965.6082211	0.180367913	189.168317	Psyr	Pflu	B	0	0	0	1	1
24A	06A	2	0	06A	0	0	-2	85.5	14.5	1.49E-05	984.9682924	0.168955257	222.307386	Psyr	Pflu	B	0	0	0	1	1
39C	16A	2	0	16A	0	0	-2	99.6	0.4	5.06E-05	161.1459011	0.156670452	74.00134238	Psyr	Psyr	W	0	0	0	1	1
39C	14B	2	0	14B	0	0	-2	99.6	0.4	1.85E-05	72.21588851	0.133760581	15.29776738	Psyr	Psyr	W	0	0	0	1	1
39C	46B	1	2	39C	1	2	1	91.1	8.9	4.50E-05	651.3196135	0.368788418	56.66037804	Psyr	Psyr	W	0	0	0	1	1
39C	02A	2	0	02A	0	0	-2	91.9	8.1	0.000319429	355.5373766	0.274491124	272.3650889	Psyr	Psyr	W	0	0	0	1	1
39C	08A	2	0	08A	0	0	-2	91.9	8.1	0.000282153	1191.784345	0.279974308	179.6225551	Psyr	Psyr	W	0	0	0	1	1
39C	06C	2	0	06C	0	0	-2	91.9	8.1	0.000239398	633.4922367	0.267236298	186.8518219	Psyr	Psyr	W	0	0	0	1	1
39C	4326	0	2	39C	2	2	2	91.9	8.1	0.000133449	771.3517697	0.563467629	477.6394712	Psyr	Psyr	W	0	0	0	1	1
39C	19A	2	0	19A	0	0	-2	91.9	8.1	0.000392857	1374.157661	0.340950391	121.8101724	Psyr	Psyr	W	0	0	0	1	1
39C	07A	2	0	07A	0	0	-2	90.2	9.8	0.000282057	927.8145467	0.32023872	30.01673901	Psyr	Psyr	W	0	0	0	1	1
39C	22D	2	0	22D	0	0	-2	90.1	9.9	0.000140439	647.1531106	0.35256775	79.72883143	Psyr	Psyr	W	0	0	0	1	1
39C	22B	1	2	39C	1	2	1	90.1	9.9	0.000272458	716.9736238	0.297849876	17.1705336	Psyr	Psyr	W	0	0	0	1	1
