,07A,22D,26B,08A,19A,46B,10A,24A,22A,17A,20A,21B,39C,23A,20B,21A,22C,39F,08B,03A,13A,33E,36B,34A,06B,07B,36A,P.putida.F1,P.putida.BIRD-1,P.putida.GB-1,P.putida.S16,P.putida.HB3267,P.stutzeri.DSM.10701
20A,90.1,90.0,90.4,91.7,91.8,91.1,100.0,99.5,99.5,100.0,,100.0,99.5,86.3,86.7,86.7,86.1,86.5,85.6,85.7,85.7,85.7,85.7,85.7,85.1,85.1,85.1,80.3,80.5,80.4,80.9,80.7,76.9
21B,90.1,90.0,90.4,91.7,91.8,91.1,100.0,99.5,99.5,100.0,100.0,,99.5,86.3,86.7,86.7,86.1,86.5,85.6,85.7,85.7,85.7,85.7,85.7,85.1,85.1,85.1,80.3,80.5,80.4,80.9,80.7,76.9
39C,90.2,90.2,90.6,92.0,91.9,91.1,99.5,100.0,100.0,99.5,99.5,99.5,,86.4,86.7,86.7,86.2,86.6,85.7,85.5,85.6,85.6,85.6,85.5,85.1,85.1,85.1,80.4,80.7,80.5,81.0,80.9,77.0
23A,85.9,85.7,86.0,86.5,86.6,86.6,86.3,86.5,86.5,86.4,86.3,86.3,86.4,,92.1,92.1,88.2,88.0,83.8,85.0,85.1,85.1,85.1,84.9,84.5,84.5,84.5,79.0,79.7,79.0,79.3,79.2,76.3
20B,86.2,86.1,85.8,86.7,86.8,86.1,86.7,86.7,86.7,86.7,86.7,86.7,86.7,92.1,,100.0,89.2,87.6,84.1,84.2,84.5,84.5,84.5,84.6,84.0,84.0,84.0,78.8,79.2,79.0,79.2,78.9,76.2
21A,86.2,86.1,85.8,86.7,86.8,86.1,86.7,86.7,86.7,86.7,86.7,86.7,86.7,92.1,100.0,,89.2,87.6,84.1,84.2,84.5,84.5,84.5,84.6,84.0,84.0,84.0,78.8,79.2,79.0,79.2,78.9,76.2
22C,84.9,85.0,84.8,86.4,86.4,85.6,86.1,86.2,86.2,86.2,86.1,86.1,86.2,88.2,89.2,89.2,,87.5,83.9,84.7,84.8,84.8,84.8,84.8,84.5,84.5,84.5,79.4,79.5,79.5,79.1,79.0,75.8
39F,86.7,86.5,86.8,85.9,86.0,86.3,86.5,86.6,86.6,86.6,86.5,86.5,86.6,88.0,87.6,87.6,87.5,,83.7,84.7,84.8,84.8,84.8,84.6,84.9,84.9,84.9,80.3,80.4,80.9,80.2,80.2,78.2
08B,84.0,84.0,84.5,84.6,84.5,84.4,85.6,85.7,85.7,85.7,85.6,85.6,85.7,83.8,84.1,84.1,83.9,83.7,,84.4,84.5,84.5,84.5,84.7,84.0,84.0,84.0,79.0,79.0,79.2,79.4,79.2,76.6
03A,84.2,84.3,84.6,85.5,85.7,84.9,85.7,85.5,85.5,85.7,85.7,85.7,85.5,85.0,84.2,84.2,84.7,84.7,84.4,,98.3,98.3,98.3,92.9,89.2,89.2,89.2,81.3,81.1,82.0,82.0,82.0,77.2
13A,84.3,84.4,84.7,85.6,85.8,84.9,85.7,85.7,85.7,85.7,85.7,85.7,85.6,85.1,84.5,84.5,84.8,84.8,84.5,98.3,,100.0,100.0,93.1,89.2,89.2,89.2,81.3,81.1,82.1,81.9,81.9,77.4
33E,84.3,84.4,84.7,85.6,85.8,84.9,85.7,85.7,85.7,85.7,85.7,85.7,85.6,85.1,84.5,84.5,84.8,84.8,84.5,98.3,100.0,,100.0,93.1,89.2,89.2,89.2,81.3,81.1,82.1,81.9,81.9,77.4
36B,84.3,84.4,84.7,85.6,85.8,84.9,85.7,85.7,85.7,85.7,85.7,85.7,85.6,85.1,84.5,84.5,84.8,84.8,84.5,98.3,100.0,100.0,,93.1,89.2,89.2,89.2,81.3,81.1,82.1,81.9,81.9,77.4
34A,85.0,84.9,85.0,85.0,85.1,85.1,85.7,85.5,85.5,85.7,85.7,85.7,85.5,84.9,84.6,84.6,84.8,84.6,84.7,92.9,93.1,93.1,93.1,,89.5,89.5,89.5,82.2,82.1,82.1,82.6,82.3,77.3
06B,84.4,84.4,85.0,85.0,85.0,84.6,85.1,85.1,85.1,85.2,85.1,85.1,85.1,84.5,84.0,84.0,84.5,84.9,84.0,89.2,89.2,89.2,89.2,89.5,,100.0,100.0,81.4,81.3,81.2,81.1,80.9,77.5
07B,84.4,84.4,85.0,85.0,85.0,84.6,85.1,85.1,85.1,85.2,85.1,85.1,85.1,84.5,84.0,84.0,84.5,84.9,84.0,89.2,89.2,89.2,89.2,89.5,100.0,,100.0,81.4,81.3,81.2,81.1,80.9,77.5
36A,84.4,84.4,85.0,85.0,85.0,84.6,85.1,85.1,85.1,85.2,85.1,85.1,85.1,84.5,84.0,84.0,84.5,84.9,84.0,89.2,89.2,89.2,89.2,89.5,100.0,100.0,,81.4,81.3,81.2,81.1,80.9,77.5
P.putida.F1,80.3,80.0,80.7,80.2,80.2,79.8,80.3,80.4,80.4,80.3,80.3,80.3,80.4,79.0,78.8,78.8,79.4,80.3,79.0,81.3,81.3,81.3,81.3,82.2,81.4,81.4,81.4,,98.2,95.6,93.4,93.6,78.1
P.putida.BIRD-1,80.7,80.3,80.9,80.5,80.5,80.1,80.5,80.7,80.7,80.5,80.5,80.5,80.7,79.7,79.2,79.2,79.5,80.4,79.0,81.1,81.1,81.1,81.1,82.1,81.3,81.3,81.3,98.2,,95.2,93.3,93.3,77.9
P.putida.GB-1,80.6,80.3,80.6,80.2,80.2,80.3,80.4,80.5,80.5,80.4,80.4,80.4,80.5,79.0,79.0,79.0,79.5,80.9,79.2,82.0,82.1,82.1,82.1,82.1,81.2,81.2,81.2,95.6,95.2,,93.8,93.6,78.7
P.putida.S16,80.6,80.3,81.0,80.5,80.4,80.3,80.9,81.1,81.1,80.9,80.9,80.9,81.0,79.3,79.2,79.2,79.1,80.2,79.4,82.0,81.9,81.9,81.9,82.6,81.1,81.1,81.1,93.4,93.3,93.8,,98.5,78.6
P.putida.HB3267,80.5,80.3,81.1,80.5,80.4,80.1,80.7,80.9,80.9,80.7,80.7,80.7,80.9,79.2,78.9,78.9,79.0,80.2,79.2,82.0,81.9,81.9,81.9,82.3,80.9,80.9,80.9,93.6,93.3,93.6,98.5,,78.3
P.stutzeri.DSM.10701,77.7,77.6,78.2,76.8,77.1,77.2,76.9,77.0,77.0,77.0,76.9,76.9,77.0,76.3,76.2,76.2,75.8,78.2,76.6,77.2,77.4,77.4,77.4,77.3,77.5,77.5,77.5,78.1,77.9,78.7,78.6,78.3,
